DERIVED_RANGES	URAM288_X0Y0:URAM288_X3Y235, RAMB36_X0Y0:RAMB36_X11Y178, RAMB18_X0Y0:RAMB18_X11Y357, LAGUNA_X0Y0:LAGUNA_X23Y717, DSP48E2_X0Y0:DSP48E2_X18Y357, CMACE4_X0Y0:CMACE4_X0Y7, BUFG_GT_SYNC_X1Y0:BUFG_GT_SYNC_X1Y209, BUFG_GT_X1Y0:BUFG_GT_X1Y335, SLICE_X162Y0:SLICE_X168Y898, SLICE_X161Y660:SLICE_X161Y839, SLICE_X161Y360:SLICE_X161Y539, SLICE_X161Y60:SLICE_X161Y239, SLICE_X151Y0:SLICE_X160Y898, SLICE_X150Y660:SLICE_X150Y839, SLICE_X150Y360:SLICE_X150Y539, SLICE_X150Y60:SLICE_X150Y239, SLICE_X136Y0:SLICE_X149Y898, SLICE_X135Y660:SLICE_X135Y839, SLICE_X135Y360:SLICE_X135Y539, SLICE_X135Y60:SLICE_X135Y239, SLICE_X120Y0:SLICE_X134Y898, SLICE_X119Y660:SLICE_X119Y839, SLICE_X119Y360:SLICE_X119Y539, SLICE_X119Y60:SLICE_X119Y239, SLICE_X105Y0:SLICE_X118Y898, SLICE_X104Y660:SLICE_X104Y839, SLICE_X104Y360:SLICE_X104Y539, SLICE_X104Y60:SLICE_X104Y239, SLICE_X91Y0:SLICE_X103Y898, SLICE_X90Y660:SLICE_X90Y839, SLICE_X90Y360:SLICE_X90Y539, SLICE_X90Y60:SLICE_X90Y239, SLICE_X79Y0:SLICE_X89Y898, SLICE_X78Y660:SLICE_X78Y839, SLICE_X78Y360:SLICE_X78Y539, SLICE_X78Y60:SLICE_X78Y239, SLICE_X63Y0:SLICE_X77Y898, SLICE_X62Y660:SLICE_X62Y839, SLICE_X62Y360:SLICE_X62Y539, SLICE_X62Y60:SLICE_X62Y239, SLICE_X48Y0:SLICE_X61Y898, SLICE_X47Y660:SLICE_X47Y839, SLICE_X47Y360:SLICE_X47Y539, SLICE_X47Y60:SLICE_X47Y239, SLICE_X34Y0:SLICE_X46Y898, SLICE_X33Y660:SLICE_X33Y839, SLICE_X33Y360:SLICE_X33Y539, SLICE_X33Y60:SLICE_X33Y239, SLICE_X20Y0:SLICE_X32Y898, SLICE_X19Y660:SLICE_X19Y839, SLICE_X19Y360:SLICE_X19Y539, SLICE_X19Y60:SLICE_X19Y239, SLICE_X9Y0:SLICE_X18Y898, SLICE_X8Y660:SLICE_X8Y839, SLICE_X8Y360:SLICE_X8Y539, SLICE_X8Y60:SLICE_X8Y239, SLICE_X0Y0:SLICE_X7Y898

SLICEM_COLS: 1,2,4,6,8,11,13,16,17,19,21,22,24,25,27,30,31,33,35,36,38,40,42,43,45,47,50,51,53,56,59,60,62,64,66,68,70,72,74,76,78,80,81,84,87,88,90,92,93,95,97,99,100,102,104,107,108,110,113,116,117,119,121,123,125,127,129,131,133,135,137,138,141,142,144,146,148,150,152,153,156,158,161,163,165,166,168
CLOCK_REGION X2Y10 SLICE_X55Y600:SLICE_X87Y659
CLOCK_REGION X2Y11 SLICE_X55Y660:SLICE_X87Y719
CLOCK_REGION X2Y12 SLICE_X55Y720:SLICE_X87Y779
CLOCK_REGION X2Y13 SLICE_X55Y780:SLICE_X87Y839
CLOCK_REGION X2Y14 SLICE_X55Y840:SLICE_X87Y899
CLOCK_REGION X3Y0 SLICE_X88Y0:SLICE_X111Y59
CLOCK_REGION X3Y1 SLICE_X88Y60:SLICE_X111Y119
CLOCK_REGION X3Y2 SLICE_X88Y120:SLICE_X111Y179
CLOCK_REGION X3Y3 SLICE_X88Y180:SLICE_X111Y239
CLOCK_REGION X3Y4 SLICE_X88Y240:SLICE_X111Y299
CLOCK_REGION X3Y5 SLICE_X88Y300:SLICE_X111Y359
CLOCK_REGION X3Y6 SLICE_X88Y360:SLICE_X111Y419
CLOCK_REGION X3Y7 SLICE_X88Y420:SLICE_X111Y479
CLOCK_REGION X3Y8 SLICE_X88Y480:SLICE_X111Y539
CLOCK_REGION X3Y9 SLICE_X88Y540:SLICE_X111Y599
CLOCK_REGION X3Y10 SLICE_X88Y600:SLICE_X111Y659
CLOCK_REGION X3Y11 SLICE_X88Y660:SLICE_X111Y719
CLOCK_REGION X3Y12 SLICE_X88Y720:SLICE_X111Y779
CLOCK_REGION X3Y13 SLICE_X88Y780:SLICE_X111Y839
CLOCK_REGION X3Y14 SLICE_X88Y840:SLICE_X111Y899
CLOCK_REGION X4Y0 SLICE_X112Y0:SLICE_X141Y59
CLOCK_REGION X4Y1 SLICE_X112Y60:SLICE_X141Y119
CLOCK_REGION X4Y2 SLICE_X112Y120:SLICE_X141Y179
CLOCK_REGION X4Y3 SLICE_X112Y180:SLICE_X141Y239
CLOCK_REGION X4Y4 SLICE_X112Y240:SLICE_X141Y299
CLOCK_REGION X4Y5 SLICE_X112Y300:SLICE_X141Y359
CLOCK_REGION X4Y6 SLICE_X112Y360:SLICE_X141Y419
CLOCK_REGION X4Y7 SLICE_X112Y420:SLICE_X141Y479
CLOCK_REGION X4Y8 SLICE_X112Y480:SLICE_X141Y539
CLOCK_REGION X4Y9 SLICE_X112Y540:SLICE_X141Y599
CLOCK_REGION X4Y10 SLICE_X112Y600:SLICE_X141Y659
CLOCK_REGION X4Y11 SLICE_X112Y660:SLICE_X141Y719
CLOCK_REGION X4Y12 SLICE_X112Y720:SLICE_X141Y779
CLOCK_REGION X4Y13 SLICE_X112Y780:SLICE_X141Y839
CLOCK_REGION X4Y14 SLICE_X112Y840:SLICE_X141Y899
CLOCK_REGION X5Y0 SLICE_X142Y0:SLICE_X168Y59
CLOCK_REGION X5Y1 SLICE_X142Y60:SLICE_X168Y119
CLOCK_REGION X5Y2 SLICE_X142Y120:SLICE_X168Y179
CLOCK_REGION X5Y3 SLICE_X142Y180:SLICE_X168Y239
CLOCK_REGION X5Y4 SLICE_X142Y240:SLICE_X168Y299
CLOCK_REGION X5Y5 SLICE_X142Y300:SLICE_X168Y359
CLOCK_REGION X5Y6 SLICE_X142Y360:SLICE_X168Y419
CLOCK_REGION X5Y7 SLICE_X142Y420:SLICE_X168Y479
CLOCK_REGION X5Y8 SLICE_X142Y480:SLICE_X168Y539
CLOCK_REGION X5Y9 SLICE_X142Y540:SLICE_X168Y599
CLOCK_REGION X5Y10 SLICE_X142Y600:SLICE_X168Y659
CLOCK_REGION X5Y11 SLICE_X142Y660:SLICE_X168Y719
CLOCK_REGION X5Y12 SLICE_X142Y720:SLICE_X168Y779
CLOCK_REGION X5Y13 SLICE_X142Y780:SLICE_X168Y839
CLOCK_REGION X5Y14 SLICE_X142Y840:SLICE_X168Y899
